date	temperature 	Dewpoint	Humidity 	wind	Pressure	Clouds	Precipitation 
29/10/2025	11.71	4.14	0.6	4.98	204.27	0	0
30/10/2025	11.46	4.72	0.63	4.35	214.67	0	0
31/10/2025	11.09	5.26	0.67	4.03	213.68	0	0
1/11/2025	10.95	5.49	0.69	4.06	219.21	0	0
2/11/2025	10.55	5.5	0.71	3.65	225.24	0	0
3/11/2025	10.08	5.56	0.74	3.2	223.18	0	0
4/11/2025	9.77	5.61	0.75	2.94	215.97	0.07	0
5/11/2025	9.87	6.39	0.79	2.75	214.88	0.06	0
6/11/2025	9.72	6.63	0.81	2.61	213.95	0.01	0
7/11/2025	10.96	6.89	0.76	2.22	208.09	0.97	0
8/11/2025	11.54	6.93	0.73	1.89	190.56	1	0.01
9/11/2025	11.88	6.98	0.72	2.37	194.16	1	0
10/11/2025	12.21	7.14	0.71	2.38	199.18	1	0
11/11/2025	12.76	7.54	0.71	2.18	192.7	1	0
12/11/2025	14.05	7.9	0.66	2.07	187.61	1	0
13/11/2025	16.05	7.86	0.58	2.38	186.5	0.91	0
14/11/2025	17.88	7.54	0.51	1.86	225.47	0.48	0
15/11/2025	18.69	7.77	0.49	1.04	208.05	0.94	0
16/11/2025	19.01	8.05	0.49	1.53	168.6	0.53	0
17/11/2025	18.71	8.51	0.51	1.89	163.83	1	0
18/11/2025	18.33	8.61	0.53	3.02	157.32	0.89	0
19/11/2025	17.54	8.92	0.57	3.5	156.11	1	0
20/11/2025	16.11	9.41	0.64	4.01	146.01	1	0
21/11/2025	15.42	9.67	0.69	3.71	160.22	1	0
22/11/2025	11.05	6.89	0.76	2.22	208.09	0.97	0
23/11/2025	12.4	6.93	0.73	1.89	190.56	1	0.01
24/11/2025	9.56	6.98	0.72	2.37	194.16	1	0
25/11/2025	12.21	7.14	0.71	2.38	199.18	1	0
26/11/2025	12.03	7.54	0.71	2.18	192.7	1	0
27/11/2025	15.08	7.9	0.66	2.07	187.61	1	0
28//11/2025	19.07	7.86	0.58	2.38	186.5	0.91	0
29/11/2025	17.88	7.54	0.51	1.86	225.47	0.48	0
30/11/2025	18.69	7.77	0.49	1.04	208.05	0.94	0
